00	82,82,82
01	1,26,81
02	15,15,101
03	35,6,99
04	54,3,75	
05	64,4,38
06	63,9,4
07	50,19,0
08	31,32,0
09	11,42,0
0a	0,47,0
0b	0,46,10
0c	0,38,45
0d	0,0,0
0e	0,0,0
0f	0,0,0
10	160,160,160
11	30,74,157
12	56,55,188
13	88,40,184
14	117,33,148
15	132,35,92
16	130,46,36
17	111,63,0
18	81,82,0
19	49,99,0
1a	26,107,5
1b	14,105,46
1c	16,92,104
1d	0,0,0
1e	0,0,0
1f	0,0,0
20	255,255,255
21	0,158,255
22	74,117,251
23	150,102,252
24	255,104,255
25	253,117,181
26	253,112,107
27	255,130,3
28	202,155,0
29	113,182,0
2a	25,199,14
2b	0,210,111
2c	0,218,250
2d	82,82,82
2e	0,0,0
2f	0,0,0
30	255,252,248
31	163,222,248
32	186,199,248
33	214,192,248
34	255,204,251
35	248,202,231
36	248,201,203
37	250,208,176
38	239,225,149
39	211,230,161
3a	183,238,173
3b	159,237,212
3c	159,234,247
3d	208,198,197
3e	0,0,0
3f	0,0,0
