00	70,69,59
01	0,0,74
02	0,3,112
03	0,7,102
04	46,0,73
05	77,0,1
06	76,0,0
07	55,0,0
08	2,0,0
09	0,18,0
0a	0,21,0
0b	0,21,0
0c	0,17,30
0d	0,0,1
0e	0,0,1
0f	0,0,0
10	180,171,157
11	0,61,186
12	0,44,240
13	92,15,230
14	165,0,173
15	224,0,87
16	224,6,0
17	163,22,0
18	97,62,0
19	0,86,0
1a	0,104,0
1b	0,102,0
1c	0,104,136
1d	0,0,0
1e	0,0,0
1f	0,0,0
20	255,255,255
21	0,158,255
22	74,117,251
23	150,102,252
24	255,104,255
25	253,117,181
26	253,112,107
27	255,130,3
28	202,155,0
29	113,182,0
2a	25,199,14
2b	0,210,111
2c	0,218,250
2d	82,82,82
2e	0,0,0
2f	0,0,0
30	255,252,248
31	163,222,248
32	186,199,248
33	214,192,248
34	255,204,251
35	248,202,231
36	248,201,203
37	250,208,176
38	239,225,149
39	211,230,161
3a	183,238,173
3b	159,237,212
3c	159,234,247
3d	208,198,197
3e	0,0,0
3f	0,0,0
