00	116,116,116
01	36,24,140
02	0,0,168
03	68,0,156
04	140,0,116
05	168,0,16
06	164,0,0
07	124,8,0
08	64,44,0
09	0,68,0
0a	0,80,0
0b	0,60,20
0c	24,60,92
0d	0,0,0
0e	0,0,0
0f	0,0,0
10	188,188,188
11	0,112,236
12	32,56,236
13	128,0,240
14	188,0,188
15	228,0,88
16	216,40,0
17	200,76,12
18	136,112,0
19	0,148,0
1a	0,168,0
1b	0,144,56
1c	0,128,136
1d	0,0,0
1e	0,0,0
1f	0,0,0
20	252,252,252
21	60,188,252
22	92,148,252
23	204,136,252
24	244,120,252
25	252,116,180
26	252,116,96
27	252,152,56
28	240,188,60
29	128,208,16
2a	76,220,72
2b	88,248,152
2c	0,232,216
2d	120,120,120
2e	0,0,0
2f	0,0,0
30	252,252,252
31	168,228,252
32	196,212,252
33	212,200,252
34	252,196,252
35	252,196,216
36	252,188,176
37	252,216,168
38	252,228,160
39	224,252,160
3a	168,240,188
3b	176,252,204
3c	156,252,240
3d	196,196,196
3e	0,0,0
3f	0,0,0
