00	102,102,102
01	0,42,136
02	20,18,167
03	59,0,164
04	92,0,126
05	110,0,64
06	108,6,0
07	86,29,0
08	51,53,0
09	11,72,0
0a	0,82,0
0b	0,79,8
0c	0,64,77
0d	0,0,0
0e	0,0,0
0f	0,0,0
10	173,173,173
11	21,95,217
12	66,64,255
13	117,39,254
14	160,26,204
15	183,30,123
16	181,49,32
17	153,78,0
18	107,109,0
19	56,135,0
1a	12,147,0
1b	0,143,50
1c	0,124,141
1d	0,0,0
1e	0,0,0
1f	0,0,0
20	255,254,255
21	100,176,255
22	146,144,255
23	198,118,255
24	243,106,255
25	254,110,204
26	254,129,112
27	234,158,34
28	188,190,0
29	136,216,0
2a	92,228,48
2b	69,224,130
2c	72,205,222
2d	79,79,79
2e	0,0,0
2f	0,0,0
30	255,254,255
31	192,223,255
32	211,210,255
33	232,200,255
34	251,194,255
35	254,196,234
36	254,204,197
37	247,216,165
38	228,229,148
39	207,239,150
3a	189,244,171
3b	179,243,204
3c	181,235,242
3d	184,184,184
3e	0,0,0
3f	0,0,0
