00	124,124,124
01	0,0,252
02	0,0,188
03	68,40,188
04	148,0,132	
05	168,0,32
06	168,16,0
07	136,20,0
08	80,48,0
09	0,120,0
0a	0,104,0
0b	0,88,0
0c	0,64,88
0d	0,0,0
0e	0,0,0
0f	0,0,0
10	188,188,188
11	0,120,248
12	0,88,248
13	104,68,252
14	216,0,204
15	228,0,88
16	248,56,0
17	228,92,16
18	172,124,0
19	0,184,0
1a	0,168,0
1b	0,168,68
1c	0,136,136
1d	0,0,0
1e	0,0,0
1f	0,0,0
20	248,248,248
21	60,188,252
22	104,136,252
23	152,120,248
24	248,120,248
25	248,88,152
26	248,120,88
27	252,160,68
28	248,184,0
29	184,248,24
2a	88,216,84
2b	88,248,152
2c	0,232,216
2d	120,120,120
2e	0,0,0
2f	0,0,0
30	252,252,252
31	164,228,252
32	184,184,248
33	216,184,248
34	248,184,248
35	248,164,192
36	240,208,176
37	252,224,168
38	248,216,120
39	216,248,120
3a	184,248,184
3b	184,248,216
3c	0,252,252
3d	216,216,216
3e	0,0,0
3f	0,0,0
