00	107,107,107
01	0,16,132
02	8,0,140
03	66,0,123
04	99,0,90
05	107,0,16
06	99,0,0
07	74,49,0
08	49,74,24
09	0,90,33
0a	33,90,16
0b	8,82,66
0c	0,57,115
0d	0,0,0
0e	0,0,0
0f	0,0,0
10	165,165,165
11	0,66,198
12	66,41,206
13	107,0,189
14	148,41,148
15	156,16,66
16	156,57,0
17	140,99,33
18	99,123,41
19	41,140,41
1a	24,148,16
1b	49,132,99
1c	41,115,156
1d	0,0,0
1e	0,0,0
1f	0,0,0
20	239,239,239
21	90,140,255
22	123,107,255
23	165,90,255
24	214,74,255
25	231,99,156
26	222,123,82
27	206,156,41
28	173,181,49
29	123,206,49
2a	90,206,82
2b	74,198,148
2c	74,181,206
2d	60,60,60
2e	0,0,0
2f	0,0,0
30	239,239,239
31	173,198,255
32	189,189,255
33	206,181,255
34	231,181,255
35	255,189,222
36	247,198,181
37	222,198,156
38	214,214,148
39	198,231,156
3a	181,231,173
3b	173,231,198
3c	173,222,231
3d	169,169,169
3e	0,0,0
3f	0,0,0
